learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
890000.0,13.333078,5.287972587659541E-6,890000.0,94.18426966292135,88.06649104771398,890000.0,2598600.0,1016.0,645.0,645.0,8.0,0.0,0.0,1.0
900000.0,13.567074,5.446606073377447E-6,900000.0,94.21133333333333,88.12222394833833,900000.0,2620528.0,1020.0,647.0,647.0,8.0,0.0,0.0,1.0
910000.0,13.792036,5.6008601209252245E-6,910000.0,94.23494505494506,88.17098190971397,910000.0,2650512.0,1029.0,653.0,653.0,8.0,0.0,0.0,1.0
920000.0,14.008663,5.749707848818766E-6,920000.0,94.25804347826087,88.21899278790612,920000.0,2656024.0,1031.0,654.0,654.0,8.0,0.0,0.0,1.0
930000.0,14.226207,5.899596721720364E-6,930000.0,94.28129032258065,88.26641796247681,930000.0,2663328.0,1038.0,659.0,659.0,8.0,0.0,0.0,1.0
940000.0,14.451819,6.056265502240922E-6,940000.0,94.30478723404255,88.3146679147072,940000.0,2684248.0,1050.0,668.0,668.0,8.0,0.0,0.0,1.0
950000.0,14.705871,6.234628912400867E-6,950000.0,94.3298947368421,88.36713891086906,950000.0,2713848.0,1052.0,669.0,669.0,8.0,0.0,0.0,1.0
960000.0,14.934142,6.3949974940841385E-6,960000.0,94.35458333333332,88.41761866978229,960000.0,2715632.0,1057.0,673.0,673.0,8.0,0.0,0.0,1.0
970000.0,15.164402,6.558182101402844E-6,970000.0,94.37680412371134,88.4631740915747,970000.0,2739448.0,1066.0,679.0,679.0,8.0,0.0,0.0,1.0
980000.0,15.408926,6.732493774323826E-6,980000.0,94.39816326530612,88.50711491423566,980000.0,2755544.0,1079.0,687.0,687.0,9.0,0.0,0.0,1.0
990000.0,15.647284,6.9074007327978795E-6,990000.0,94.42555555555555,88.56289803108432,990000.0,2836480.0,1116.0,716.0,716.0,9.0,0.0,0.0,1.0
1000000.0,16.128227,7.265992971507624E-6,1000000.0,94.4465,88.60563760424832,1000000.0,2882104.0,1124.0,720.0,720.0,9.0,3933.233333333333,0.0,1.0177179645810204
1010000.0,16.378816,7.4545716570959305E-6,1010000.0,94.46920792079207,88.65239032888041,1010000.0,2908928.0,1128.0,722.0,722.0,9.0,3933.233333333333,0.0,1.0177179645810204
1020000.0,16.637028,7.651851803211286E-6,1020000.0,94.49058823529411,88.69684288621974,1020000.0,2953312.0,1152.0,740.0,740.0,9.0,3933.233333333333,0.0,1.0177179645810204
1030000.0,16.923301,7.872828543958149E-6,1030000.0,94.51660194174757,88.7504705644675,1030000.0,2983792.0,1154.0,741.0,741.0,9.0,3933.233333333333,0.0,1.0177179645810204
